"Approaches","Error.type","Percent"
"all","False negatives",0.674157303370786
"1.Bayesian","False negatives",0
"2.Rates","False negatives",0
"3.SRI","False negatives",1.12359550561798
"Rates weighted","False negatives",1.12359550561798
"SRI weighted","False negatives",1.12359550561798
"all","False positives",9.09090909090909
"1.Bayesian","False positives",9.09090909090909
"2.Rates","False positives",18.1818181818182
"3.SRI","False positives",9.09090909090909
"Rates weighted","False positives",0
"SRI weighted","False positives",9.09090909090909
