"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","z","MOE","ci5","ci95","resid"
-1.465,-2.081,-0.982,90,-1.5,3,0,0,"strand",1,"2.9/2.5",-0.2,2.5,0.2,0.9,90,1,2,-9,-1.33303002729754,0,-1.33303002729754,-1.33303002729754,-0.166969972702457
-16.5360393398244,-20.6578096904782,-12.4142689891706,90,-1.5,3,2.18441888753588e-09,2.47947806444061,"2.Rates",1,"2.9/2.5",-0.2,2.5,0.2,0.9,90,1,2,-9,-2.00593894528858,-4.97368161345018,-6.97962055873876,2.96774266816159,0.505938945288585
-16.5360393398244,-20.6578096904782,-12.4142689891706,90,-1.5,3,0,2.47947806444061,"2.Rates permuted",1,"2.9/2.5",-0.2,2.5,0.2,0.9,90,1,2,-9,-2.00593894528858,-4.97368161345018,-6.97962055873876,2.96774266816159,0.505938945288585
-21.1198901481332,-27.2355840167041,-15.0041962795622,90,-1.5,3,1.54818081909195e-07,3.67555321682795,"2.Rates weigthed",1,"2.9/2.5",-0.2,2.5,0.2,0.9,90,1,2,-9,-1.72669615271867,-6.34656359860954,-8.07325975132821,4.61986744589087,0.226696152718669
-12.1760569520776,-15.72330456591,-8.62880933824525,90,-1.5,3,1.79059750915483e-07,2.13190811347028,"3.SRI",1,"2.9/2.5",-0.2,2.5,0.2,0.9,90,1,2,-9,-1.71626825606951,-3.65892622000608,-5.37519447607559,1.94265796393657,0.216268256069508
-12.1760569520776,-15.72330456591,-8.62880933824525,90,-1.5,3,0,2.13190811347028,"3.SRI permuted",1,"2.9/2.5",-0.2,2.5,0.2,0.9,90,1,2,-9,-1.71626825606951,-3.65892622000608,-5.37519447607559,1.94265796393657,0.216268256069508
-12.1760569520776,-15.72330456591,-8.62880933824525,90,-1.5,3,1.79059750915483e-07,2.13190811347028,"3.SRI weigthed",1,"2.9/2.5",-0.2,2.5,0.2,0.9,90,1,2,-9,-1.71626825606951,-3.65892622000608,-5.37519447607559,1.94265796393657,0.216268256069508
0.603,0.127,1.125,50,1,3,0.027,0.027,"strand",2,"1.9/1.7",0.8,2.7,-0.6,1.7,50,1,6,-4,0.604208416833667,0.016313627254509,0.587894789579158,0.620522044088176,0.395791583166333
9.39516668079937,5.62532980910586,13.1650035524929,50,1,3,0.000122750654331951,2.24766425407211,"2.Rates",2,"1.9/1.7",0.8,2.7,-0.6,1.7,50,1,6,-4,1.24609724512812,2.8008082349722,-1.55471098984409,4.04690548010032,-0.246097245128118
9.39516668079937,5.62532980910586,13.1650035524929,50,1,3,0,2.24766425407211,"2.Rates permuted",2,"1.9/1.7",0.8,2.7,-0.6,1.7,50,1,6,-4,1.24609724512812,2.8008082349722,-1.55471098984409,4.04690548010032,-0.246097245128118
11.0643591673327,3.66914278746812,18.4595755471972,50,1,3,0.0160195335389052,4.38340605048004,"2.Rates weigthed",2,"1.9/1.7",0.8,2.7,-0.6,1.7,50,1,6,-4,0.748075417878126,3.27911831294236,-2.53104289506424,4.02719373082049,0.251924582121874
5.39309936531774,1.74336970317267,9.04282902746282,50,1,3,0.0172693396729086,2.16332373008351,"3.SRI",2,"1.9/1.7",0.8,2.7,-0.6,1.7,50,1,6,-4,0.738835456945601,1.59834027663751,-0.85950481969191,2.33717573358311,0.261164543054399
5.39309936531774,1.74336970317267,9.04282902746282,50,1,3,0,2.16332373008351,"3.SRI permuted",2,"1.9/1.7",0.8,2.7,-0.6,1.7,50,1,6,-4,0.738835456945601,1.59834027663751,-0.85950481969191,2.33717573358311,0.261164543054399
5.39309936531774,1.74336970317267,9.04282902746282,50,1,3,0.0172693396729086,2.16332373008351,"3.SRI weigthed",2,"1.9/1.7",0.8,2.7,-0.6,1.7,50,1,6,-4,0.738835456945601,1.59834027663751,-0.85950481969191,2.33717573358311,0.261164543054399
0.38,0.238,0.518,70,0.5,-1,0,0,"strand",3,"0.7/2.1",0.3,0.9,-0.6,1.9,10,3,1,-5,1.35714285714286,0,1.35714285714286,1.35714285714286,-0.857142857142857
5.20288796239463,1.13069934632529,9.27507657846397,70,0.5,-1,0.0367420464549498,2.44198627127802,"2.Rates",3,"0.7/2.1",0.3,0.9,-0.6,1.9,10,3,1,-5,0.63883189765123,1.56001872371879,-0.92118682606756,2.19885062137002,-0.13883189765123
5.20288796239463,1.13069934632529,9.27507657846397,70,0.5,-1,0.0294,2.44198627127802,"2.Rates permuted",3,"0.7/2.1",0.3,0.9,-0.6,1.9,10,3,1,-5,0.63883189765123,1.56001872371879,-0.92118682606756,2.19885062137002,-0.13883189765123
7.43424725064223,2.66666813966478,12.2018263616197,70,0.5,-1,0.0117568028125286,2.84684420411396,"2.Rates weigthed",3,"0.7/2.1",0.3,0.9,-0.6,1.9,10,3,1,-5,0.77966689986588,2.21959019502268,-1.4399232951568,2.99925709488856,-0.27966689986588
5.29498650148577,2.30979384536558,8.28017915760597,70,0.5,-1,0.00449211701044088,1.7825353734921,"3.SRI",3,"0.7/2.1",0.3,0.9,-0.6,1.9,10,3,1,-5,0.886875172131701,1.58088636619665,-0.694011194064953,2.46776153832836,-0.386875172131701
