"","scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","z","MOE","ci5","ci95","resid"
"1",-1.924,-2.425,-1.366,50,-1,-2,0,0,"1.Bayesian",1,"2.9/0.7",0.3,0.9,-0.2,0.5,30,3,8,-7,-1.81680830972616,0,-1.81680830972616,-1.81680830972616,0.816808309726157
"2",-16.9961504980915,-19.7597253185708,-14.2325756776122,50,-1,-2,9.08530464018033e-14,1.64770746025801,"2.Rates",1,"2.9/0.7",0.3,0.9,-0.2,0.5,30,3,8,-7,-3.0750299163501,-5.06674973368662,-8.14177965003673,1.99171981733652,2.0750299163501
"3",-15.0213413442947,-17.4451100773358,-12.5975726112536,50,-1,-2,1.46261373866368e-13,1.44321138481206,"Rates weighted",1,"2.9/0.7",0.3,0.9,-0.2,0.5,30,3,8,-7,-3.09875714203297,-4.47216158614965,-7.57091872818263,1.37340444411668,2.09875714203297
"4",-6.41137800106698,-7.78339786165256,-5.03935814048139,50,-1,-2,5.74439037750988e-10,0.816956938173267,"3.SRI",1,"2.9/0.7",0.3,0.9,-0.2,0.5,30,3,8,-7,-2.33647419590945,-1.90879880521103,-4.24527300112047,-0.427675390698418,1.33647419590945
"5",-6.41137800106698,-7.78339786165256,-5.03935814048139,50,-1,-2,5.74439037750988e-10,0.816956938173267,"SRI weighted",1,"2.9/0.7",0.3,0.9,-0.2,0.5,30,3,8,-7,-2.33647419590945,-1.90879880521103,-4.24527300112047,-0.427675390698418,1.33647419590945
"6",1.887,1.125,2.528,50,1,-3,0,0,"1.Bayesian",2,"2.7/2.9",-0.6,1.5,0.8,0.5,90,1,2,-2,1.34497505345688,0,1.34497505345688,1.34497505345688,-0.344975053456878
"7",12.6251654578038,9.8168550299027,15.433475885705,50,1,-3,1.09797598229431e-09,1.67437986787364,"2.Rates",2,"2.7/2.9",-0.6,1.5,0.8,0.5,90,1,2,-2,2.24782227284602,3.76370836021134,-1.51588608736533,6.01153063305736,-1.24782227284602
"8",12.2787538860706,8.93311879676886,15.6243889753723,50,1,-3,1.45020925653445e-07,1.99474530419526,"Rates weighted",2,"2.7/2.9",-0.6,1.5,0.8,0.5,90,1,2,-2,1.83504081561886,3.66043904996237,-1.82539823434351,5.49547986558124,-0.835040815618863
"9",6.57372200210852,4.63341097813756,8.51403302607947,50,1,-3,7.63354489334039e-07,1.15685847393243,"3.SRI",2,"2.7/2.9",-0.6,1.5,0.8,0.5,90,1,2,-2,1.6939866652551,1.9597028284289,-0.265716163173806,3.653689493684,-0.693986665255096
"10",6.57372200210852,4.63341097813756,8.51403302607947,50,1,-3,7.63354489334039e-07,1.15685847393243,"SRI weighted",2,"2.7/2.9",-0.6,1.5,0.8,0.5,90,1,2,-2,1.6939866652551,1.9597028284289,-0.265716163173806,3.653689493684,-0.693986665255096
"11",3.429,2.621,4.106,30,2,2,0,0,"1.Bayesian",3,"1.7/0.7",0.6,0.5,0.1,1.5,50,7,4,3,2.30909090909091,0,2.30909090909091,2.30909090909091,-0.309090909090909
"12",16.3738375295449,14.3303866603113,18.4172883987785,30,2,2,6.96441459393923e-14,1.20123079774303,"2.Rates",3,"1.7/0.7",0.6,0.5,0.1,1.5,50,7,4,3,4.00641820561261,4.81263293722023,-0.806214731607621,8.81905114283284,-2.00641820561261
"13",18.2694469177656,16.1560571596963,20.3828366758348,30,2,2,3.85043444675914e-14,1.2390757235756,"Rates weighted",3,"1.7/0.7",0.6,0.5,0.1,1.5,50,7,4,3,4.32230894656561,5.35566808548308,-1.03335913891747,9.67797703204868,-2.32230894656561
"14",10.0223994751572,8.7237089933116,11.3210899570027,30,2,2,5.25487700313969e-13,0.761419346502204,"3.SRI",3,"1.7/0.7",0.6,0.5,0.1,1.5,50,7,4,3,3.85865593659947,2.93805528162242,0.920600654977052,6.79671121822189,-1.85865593659947
"15",10.0223994751572,8.7237089933116,11.3210899570027,30,2,2,5.25487700313969e-13,0.761419346502204,"SRI weighted",3,"1.7/0.7",0.6,0.5,0.1,1.5,50,7,4,3,3.85865593659947,2.93805528162242,0.920600654977052,6.79671121822189,-1.85865593659947
"16",3.996,3.673,4.324,70,2,1,0,0,"1.Bayesian",4,"1.7/1.9",0,1.9,-0.8,0.7,10,7,8,-6,6.13824884792627,0,6.13824884792627,6.13824884792627,-4.13824884792627
"17",21.562773373199,19.2571253865274,23.8684213598707,70,2,1,3.77652382391482e-24,1.38263751036331,"2.Rates",4,"1.7/1.9",0,1.9,-0.8,0.7,10,7,8,-6,4.67607663829173,6.46531896143569,-1.78924232314396,11.1413955997274,-2.67607663829173
"18",25.1883586609843,22.9047365777812,27.4719807441873,70,2,1,1.82623129515141e-25,1.36537616210183,"Rates weighted",4,"1.7/1.9",0,1.9,-0.8,0.7,10,7,8,-6,5.51500155088154,7.53005165152828,-2.01505010064674,13.0450532024098,-3.51500155088154
"19",17.4011566937935,16.0567030286023,18.7456103589847,70,2,1,6.97347981332156e-29,0.803847974235612,"3.SRI",4,"1.7/1.9",0,1.9,-0.8,0.7,10,7,8,-6,6.47146017163745,5.20207014931721,1.26939002232024,11.6735303209547,-4.47146017163745
"20",17.4011566937935,16.0567030286023,18.7456103589847,70,2,1,6.97347981332156e-29,0.803847974235612,"SRI weighted",4,"1.7/1.9",0,1.9,-0.8,0.7,10,7,8,-6,6.47146017163745,5.20207014931721,1.26939002232024,11.6735303209547,-4.47146017163745
"21",-6.645,-7.231,-6.188,90,-4,-4,0,0,"1.Bayesian",5,"2.7/1.9",0.3,1.9,0.4,0.5,70,3,0,3,-6.37104506232023,0,-6.37104506232023,-6.37104506232023,2.37104506232023
"22",-48.3660432402707,-51.1641727666199,-45.5679137139214,90,-4,-4,1.71003631090426e-46,1.68323322063444,"2.Rates",5,"2.7/1.9",0.3,1.9,0.4,0.5,70,3,0,3,-8.64256689778309,-14.547455713904,-23.1900226116871,5.90488881612094,4.64256689778309
"23",-46.0940181032488,-48.9605099589222,-43.2275262475753,90,-4,-4,5.1698040809997e-44,1.72435702947707,"Rates weighted",5,"2.7/1.9",0.3,1.9,0.4,0.5,70,3,0,3,-8.04014461300802,-13.8640798814526,-21.9042244944606,5.82393526844456,4.04014461300802
"24",-21.472776189838,-23.1797228203986,-19.7658295592775,90,-4,-4,6.70618472389588e-36,1.02682497266604,"3.SRI",5,"2.7/1.9",0.3,1.9,0.4,0.5,70,3,0,3,-6.28982060873986,-6.45854487464361,-12.7483654833835,0.168724265903753,2.28982060873986
"25",-21.472776189838,-23.1797228203986,-19.7658295592775,90,-4,-4,6.70618472389588e-36,1.02682497266604,"SRI weighted",5,"2.7/1.9",0.3,1.9,0.4,0.5,70,3,0,3,-6.28982060873986,-6.45854487464361,-12.7483654833835,0.168724265903753,2.28982060873986
"26",3.846,3.544,4.105,90,2,3,0,0,"1.Bayesian",6,"1.7/1.1",-0.1,2.3,-0.6,1.1,50,3,3,1,6.85561497326203,0,6.85561497326203,6.85561497326203,-4.85561497326203
"27",35.998828501545,34.140805096985,37.856851906105,90,2,3,1.76391777203449e-50,1.11770619973843,"2.Rates",6,"1.7/1.1",-0.1,2.3,-0.6,1.1,50,3,3,1,9.6873990965872,10.827666029596,-1.14026693300883,20.5150651261832,-7.6873990965872
"28",38.58697193173,36.6189037689279,40.555040094532,90,2,3,1.84777587993275e-49,1.18330452891927,"Rates weighted",6,"1.7/1.1",-0.1,2.3,-0.6,1.1,50,3,3,1,9.80326105087517,11.6002431996785,-1.79698214880333,21.4035042505537,-7.80326105087517
"29",22.3128124874412,21.0097372412317,23.6158877336507,90,2,3,6.32671150008471e-45,0.783476339644146,"3.SRI",6,"1.7/1.1",-0.1,2.3,-0.6,1.1,50,3,3,1,8.56159786334135,6.70780935547583,1.85378850786553,15.2694072188172,-6.56159786334135
"30",22.3128124874412,21.0097372412317,23.6158877336507,90,2,3,6.32671150008471e-45,0.783476339644146,"SRI weighted",6,"1.7/1.1",-0.1,2.3,-0.6,1.1,50,3,3,1,8.56159786334135,6.70780935547583,1.85378850786553,15.2694072188172,-6.56159786334135
"31",0.2,-0.303,0.644,50,0,-1,0.221,0.221,"1.Bayesian",7,"2.7/2.3",-0.8,2.1,-0.6,2.1,50,1,3,2,0.211193241816262,0.0466737064413939,0.164519535374868,0.257866948257656,-0.211193241816262
"32",-1.14632151405995,-3.05013891624191,0.757495888122004,50,0,-1,0.317613870034714,1.13510012947656,"2.Rates",7,"2.7/2.3",-0.8,2.1,-0.6,2.1,50,1,3,2,-0.301058681558998,-0.341731748417661,-0.642790429976658,0.0406730668586629,0.301058681558998
"33",-0.391864974062693,-2.59271567580724,1.80898572768186,50,0,-1,0.766220720986819,1.30985087305404,"Rates weighted",7,"2.7/2.3",-0.8,2.1,-0.6,2.1,50,1,3,2,-0.0890257966503755,-0.116610517466826,-0.205636314117201,0.02758472081645,0.0890257966503755
"34",-0.339411942427299,-1.56816401120821,0.889340126353616,50,0,-1,0.644848981050677,0.731299932695955,"3.SRI",7,"2.7/2.3",-0.8,2.1,-0.6,2.1,50,1,3,2,-0.138112460215038,-0.10100163285973,-0.239114093074768,-0.0371108273553079,0.138112460215038
"35",-0.339411942427299,-1.56816401120821,0.889340126353616,50,0,-1,0.644848981050677,0.731299932695955,"SRI weighted",7,"2.7/2.3",-0.8,2.1,-0.6,2.1,50,1,3,2,-0.138112460215038,-0.10100163285973,-0.239114093074768,-0.0371108273553079,0.138112460215038
"36",3.79,3.487,4.09,30,2,-2,0,0,"1.Bayesian",8,"0.7/1.5",0.9,1.7,0,1.7,30,7,2,5,6.28524046434494,0,6.28524046434494,6.28524046434494,-4.28524046434494
"37",8.562342942032,7.20995224081174,9.91473364325226,30,2,-2,1.82457200183776e-11,0.794995067092729,"2.Rates",8,"0.7/1.5",0.9,1.7,0,1.7,30,7,2,5,3.16563214103225,2.51666193635083,0.648970204681418,5.68229407738308,-1.16563214103225
"38",10.4080680507034,8.99870238132159,11.8174337200852,30,2,-2,1.36743993789471e-11,0.820761311867259,"Rates weighted",8,"0.7/1.5",0.9,1.7,0,1.7,30,7,2,5,3.69246543917473,3.03063277788157,0.661832661293162,6.72309821705629,-1.69246543917473
"39",6.56334622453262,5.72006636631467,7.40662608275057,30,2,-2,4.89145876155627e-12,0.491094325439181,"3.SRI",8,"0.7/1.5",0.9,1.7,0,1.7,30,7,2,5,3.89155875156471,1.91112242000661,1.9804363315581,5.80268117157132,-1.89155875156471
"40",6.56334622453262,5.72006636631467,7.40662608275057,30,2,-2,4.89145876155627e-12,0.491094325439181,"SRI weighted",8,"0.7/1.5",0.9,1.7,0,1.7,30,7,2,5,3.89155875156471,1.91112242000661,1.9804363315581,5.80268117157132,-1.89155875156471
"41",-3.121,-3.97,-2.103,30,-2,2,0,0,"1.Bayesian",9,"1.9/0.7",0.7,1.9,0.3,0.9,10,1,2,-2,-1.67166577396893,0,-1.67166577396893,-1.67166577396893,-0.328334226031066
"42",-12.4014667883665,-14.018258469393,-10.78467510734,30,-2,2,2.01421208575823e-13,0.950421656828068,"2.Rates",9,"1.9/0.7",0.7,1.9,0.3,0.9,10,1,2,-2,-3.83520862146345,-3.64506533229258,-7.48027395375603,-0.190143289170866,1.83520862146345
"43",-12.8308614439927,-14.7985064826868,-10.8632164052986,30,-2,2,2.48549966353354e-10,1.14348577900785,"Rates weighted",9,"1.9/0.7",0.7,1.9,0.3,0.9,10,1,2,-2,-3.26046141241728,-3.72829125810302,-6.9887526705203,0.467829845685744,1.26046141241728
"44",-6.16354807388321,-7.44645247342057,-4.88064367434586,30,-2,2,4.84493231323204e-08,0.745552631622629,"3.SRI",9,"1.9/0.7",0.7,1.9,0.3,0.9,10,1,2,-2,-2.40218525874022,-1.79095554129885,-4.19314080003907,-0.611229717441362,0.402185258740216
"45",-6.16354807388321,-7.44645247342057,-4.88064367434586,30,-2,2,4.84493231323204e-08,0.745552631622629,"SRI weighted",9,"1.9/0.7",0.7,1.9,0.3,0.9,10,1,2,-2,-2.40218525874022,-1.79095554129885,-4.19314080003907,-0.611229717441362,0.402185258740216
"46",-4,-4.317,-3.713,70,-2,1,0,0,"1.Bayesian",10,"1.7/2.5",-0.6,1.1,0.4,2.3,50,1,4,5,-6.62251655629139,0,-6.62251655629139,-6.62251655629139,4.62251655629139
"47",-29.8487525824592,-31.6856420488556,-28.0118631160629,70,-2,1,3.64046427481829e-38,1.1015351403651,"2.Rates",10,"1.7/2.5",-0.6,1.1,0.4,2.3,50,1,4,5,-8.1248091212089,-8.94976275577048,-17.0745718769794,0.824953634561576,6.1248091212089
"48",-27.6236646399386,-29.7830227273514,-25.4643065525257,70,-2,1,5.14731105776912e-30,1.29285887776493,"Rates weighted",10,"1.7/2.5",-0.6,1.1,0.4,2.3,50,1,4,5,-6.39626766884109,-8.26947144022202,-14.6657391090631,1.87320377138093,4.39626766884109
"49",-12.0715645739518,-13.1947400349166,-10.948389112987,70,-2,1,5.01829840503278e-26,0.672471775043024,"3.SRI",10,"1.7/2.5",-0.6,1.1,0.4,2.3,50,1,4,5,-5.37385519604513,-3.61376594250864,-8.98762113855377,-1.76008925353649,3.37385519604513
"50",-12.0715645739518,-13.1947400349166,-10.948389112987,70,-2,1,5.01829840503278e-26,0.672471775043024,"SRI weighted",10,"1.7/2.5",-0.6,1.1,0.4,2.3,50,1,4,5,-5.37385519604513,-3.61376594250864,-8.98762113855377,-1.76008925353649,3.37385519604513
"51",-1.747,-1.964,-1.542,90,-1,2,0,0,"1.Bayesian",11,"1.1/2.9",0.8,2.7,0.9,2.7,70,7,3,-8,-4.13981042654029,0,-4.13981042654029,-4.13981042654029,3.13981042654029
"52",-25.6885096556502,-30.4738615100547,-20.9031578012458,90,-1,2,5.89182912678629e-14,2.87865988257786,"2.Rates",11,"1.1/2.9",0.8,2.7,0.9,2.7,70,7,3,-8,-2.68407741345149,-7.72654597183618,-10.4106233852877,5.04246855838468,1.68407741345149
"53",-28.9938221129751,-34.0029208477392,-23.984723378211,90,-1,2,5.04970644148747e-15,3.01005032868953,"Rates weighted",11,"1.1/2.9",0.8,2.7,0.9,2.7,70,7,3,-8,-2.89411565315654,-8.71143377304936,-11.6055494262059,5.81731811989281,1.89411565315654
"54",-13.4570950594373,-16.042580559448,-10.8716095594267,90,-1,2,4.0644180780969e-13,1.55366102590818,"3.SRI",11,"1.1/2.9",0.8,2.7,0.9,2.7,70,7,3,-8,-2.60243096690776,-4.04329556590112,-6.64572653280888,1.44086459899336,1.60243096690776
"55",-13.4570950594373,-16.042580559448,-10.8716095594267,90,-1,2,4.0644180780969e-13,1.55366102590818,"SRI weighted",11,"1.1/2.9",0.8,2.7,0.9,2.7,70,7,3,-8,-2.60243096690776,-4.04329556590112,-6.64572653280888,1.44086459899336,1.60243096690776
"56",-3.856,-4.074,-3.677,70,-2,3,0,0,"1.Bayesian",12,"0.9/1.5",0.7,1.7,0.3,2.5,30,3,9,1,-9.71284634760706,0,-9.71284634760706,-9.71284634760706,7.71284634760706
"57",-29.8377951314688,-32.6028274366158,-27.0727628263219,70,-2,3,1.46077095106199e-27,1.65811841380927,"2.Rates",12,"0.9/1.5",0.7,1.7,0.3,2.5,30,3,9,1,-5.39555994986523,-8.94647730568337,-14.3420372555486,3.55091735581814,3.39555994986523
"58",-34.2430290883029,-36.9888230238426,-31.4972351527631,70,-2,3,5.99932050279336e-27,1.63958423533741,"Rates weighted",12,"0.9/1.5",0.7,1.7,0.3,2.5,30,3,9,1,-6.23554241363196,-10.2236970401687,-16.4592394538007,3.98815462653676,4.23554241363196
"59",-19.0883745902469,-20.6039904958596,-17.5727586846341,70,-2,3,3.7915278085419e-27,0.905013269024064,"3.SRI",12,"0.9/1.5",0.7,1.7,0.3,2.5,30,3,9,1,-6.2972335271613,-5.69907990022418,-11.9963134273855,-0.598153626937115,4.2972335271613
"60",-19.0883745902469,-20.6039904958596,-17.5727586846341,70,-2,3,3.7915278085419e-27,0.905013269024064,"SRI weighted",12,"0.9/1.5",0.7,1.7,0.3,2.5,30,3,9,1,-6.2972335271613,-5.69907990022418,-11.9963134273855,-0.598153626937115,4.2972335271613
"61",7.038,6.559,7.511,90,4,-1,0,0,"1.Bayesian",13,"2.5/1.1",-0.3,2.1,-0.8,0.5,10,1,3,-8,7.39285714285714,0,7.39285714285714,7.39285714285714,-3.39285714285714
"62",36.117270817165,33.7075512350877,38.5269903992424,90,4,-1,1.2332926442378e-41,1.44958266397983,"2.Rates",13,"2.5/1.1",-0.3,2.1,-0.8,0.5,10,1,3,-8,7.49408169435828,10.8632909065903,-3.36920921223204,18.3573726009486,-3.49408169435828
"63",38.8092856160231,36.6475514645203,40.9710197675259,90,4,-1,4.04987584410141e-44,1.29842887186809,"Rates weighted",13,"2.5/1.1",-0.3,2.1,-0.8,0.5,10,1,3,-8,8.97642422613427,11.6552483813489,-2.67882415521465,20.6316726074832,-4.97642422613427
"64",25.931909947615,24.6843148067973,27.1795050884327,90,4,-1,1.10726766537898e-48,0.74935835662952,"3.SRI",13,"2.5/1.1",-0.3,2.1,-0.8,0.5,10,1,3,-8,10.3927584755654,7.78790041209723,2.6048580634682,18.1806588876627,-6.39275847556543
"65",25.931909947615,24.6843148067973,27.1795050884327,90,4,-1,1.10726766537898e-48,0.74935835662952,"SRI weighted",13,"2.5/1.1",-0.3,2.1,-0.8,0.5,10,1,3,-8,10.3927584755654,7.78790041209723,2.6048580634682,18.1806588876627,-6.39275847556543
"66",2.139,1.976,2.281,90,1,4,0,0,"1.Bayesian",14,"0.7/2.3",-0.3,1.5,0.3,2.9,90,7,2,1,7.01311475409836,0,7.01311475409836,7.01311475409836,-6.01311475409836
