"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","prediction_correlation","z","MOE","ci5","ci95","resid"
-1.107,-1.587,-0.651,70,-0.82,-0.1558,0,0.00907851967133071,"strand",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.319028193156514,-1.18269230769231,-0.0107370953805161,-1.19342940307282,-1.17195521231179,0.362692307692308
-0.867125204349884,-1.42672497986197,-0.307525428837797,70,-0.82,-0.1558,0.011919256526237,0.335577523059289,"2.Rates",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.299016855549642,-0.77477265207655,-0.259996287517924,-1.03476893959447,-0.514776364558625,-0.0452273479234505
-0.867125204349884,-1.42672497986197,-0.307525428837797,70,-0.82,-0.1558,0.0124,0.335577523059289,"2.Rates permuted",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.299016855549642,-0.77477265207655,-0.259996287517924,-1.03476893959447,-0.514776364558625,-0.0452273479234505
-1.09941769961773,-1.55506622949159,-0.643769169743871,70,-0.82,-0.1558,0.000146411403883769,0.273240647569512,"2.Rates weigthed",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.299016855549646,-1.20643174238057,-0.329646190536481,-1.53607793291705,-0.876785551844086,0.386431742380567
-1.09941769961773,-1.55506622949159,-0.643769169743871,70,-0.82,-0.1558,0.001,0.273240647569512,"2.Rates weigthed permuted",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.299016855549646,-1.20643174238057,-0.329646190536481,-1.53607793291705,-0.876785551844086,0.386431742380567
0.108820944284555,0.0736183242524883,0.144023564316621,70,-0.82,-0.1558,2.36737516715308e-06,0.0211101014555411,"3.SRI",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.477542140472085,1.54563700351605,0.0326285539576623,1.51300844955839,1.57826555747371,-2.36563700351605
0.108820944284555,0.0736183242524883,0.144023564316621,70,-0.82,-0.1558,2e-04,0.0211101014555411,"3.SRI permuted",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.477542140472085,1.54563700351605,0.0326285539576623,1.51300844955839,1.57826555747371,-2.36563700351605
0.108820944284555,0.0736183242524883,0.144023564316621,70,-0.82,-0.1558,2.36737516715308e-06,0.0211101014555411,"3.SRI weigthed",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.477542140472085,1.54563700351605,0.0326285539576623,1.51300844955839,1.57826555747371,-2.36563700351605
0.108820944284555,0.0736183242524883,0.144023564316621,70,-0.82,-0.1558,2e-04,0.0211101014555411,"3.SRI weigthed permuted",1,"1.7/0.8",0.5,1.2,0.8,1,40,7,3,9,0.477542140472085,1.54563700351605,0.0326285539576623,1.51300844955839,1.57826555747371,-2.36563700351605
-0.253,-0.577,0.055,80,-0.23,-0.0782,0.094,0.0063074433402969,"strand",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,0.99959134036119,-0.400316455696203,-0.00252497336249227,-0.402841429058695,-0.39779148233371,0.170316455696203
