"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","prediction_correlation","z","MOE","ci5","ci95","resid"
0.198,-0.046,0.458,60,0.22,0.0418,0.1,0.00492582834353155,"strand",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.878166517662775,0.392857142857143,0.00193514684924454,0.390921996007898,0.394792289706387,-0.172857142857143
0.88087300051397,-0.426978482210258,2.1887244832382,60,0.22,0.0418,0.264872168175972,0.782417110665118,"2.Rates",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.146240153485087,0.336763391007949,0.263489439370227,0.073273951637722,0.600252830378176,-0.116763391007949
0.88087300051397,-0.426978482210258,2.1887244832382,60,0.22,0.0418,0.266,0.782417110665118,"2.Rates permuted",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.146240153485087,0.336763391007949,0.263489439370227,0.073273951637722,0.600252830378176,-0.116763391007949
0.300312417007457,-0.735079494717057,1.33570432873197,60,0.22,0.0418,0.629490544480191,0.619060152334319,"2.Rates weigthed",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.146240153485088,0.145023547898528,0.0897782996541261,0.0552452482444018,0.234801847552654,0.0749764521014722
0.300312417007457,-0.735079494717057,1.33570432873197,60,0.22,0.0418,0.7232,0.619060152334319,"2.Rates weigthed permuted",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.146240153485088,0.145023547898528,0.0897782996541261,0.0552452482444018,0.234801847552654,0.0749764521014722
-0.123298949393399,-0.318701166743969,0.0721032679571709,60,0.22,0.0418,0.295791364157914,0.116830858991385,"3.SRI",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.0352910107058222,-0.315500384451086,-0.0368601809275328,-0.352360565378619,-0.278640203523554,0.535500384451086
-0.123298949393399,-0.318701166743969,0.0721032679571709,60,0.22,0.0418,0.7676,0.116830858991385,"3.SRI permuted",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.0352910107058222,-0.315500384451086,-0.0368601809275328,-0.352360565378619,-0.278640203523554,0.535500384451086
-0.123298949393399,-0.318701166743969,0.0721032679571709,60,0.22,0.0418,0.295791364157914,0.116830858991385,"3.SRI weigthed",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.0352910107058222,-0.315500384451086,-0.0368601809275328,-0.352360565378619,-0.278640203523554,0.535500384451086
-0.123298949393399,-0.318701166743969,0.0721032679571709,60,0.22,0.0418,0.4406,0.116830858991385,"3.SRI weigthed permuted",1,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,4,0.0352910107058222,-0.315500384451086,-0.0368601809275328,-0.352360565378619,-0.278640203523554,0.535500384451086
-0.09,-0.991,0.738,70,-0.13,-0.0637,0.417,0.0169386680248367,"strand",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,-0.0331761052293656,-0.0520532099479468,-0.000881712042935398,-0.0529349219908822,-0.0511714979050114,-0.0779467900520532
0.53090141591203,-0.0920734159149785,1.15387624773904,70,-0.13,-0.0637,0.159854236237071,0.373581906464272,"2.Rates",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,0.169831548868904,0.426101817271692,0.15918392924425,0.266917888027442,0.585285746515941,-0.556101817271692
0.53090141591203,-0.0920734159149785,1.15387624773904,70,-0.13,-0.0637,0.1576,0.373581906464272,"2.Rates permuted",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,0.169831548868904,0.426101817271692,0.15918392924425,0.266917888027442,0.585285746515941,-0.556101817271692
-0.0886685523668518,-0.449707267583576,0.272370162849872,70,-0.13,-0.0637,0.683385285189299,0.216460955178151,"2.Rates weigthed",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,-0.169831548868884,-0.122796460088257,-0.0265806390431998,-0.149377099131457,-0.0962158210450569,-0.00720353991174327
-0.0886685523668518,-0.449707267583576,0.272370162849872,70,-0.13,-0.0637,0.6686,0.216460955178151,"2.Rates weigthed permuted",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,-0.169831548868884,-0.122796460088257,-0.0265806390431998,-0.149377099131457,-0.0962158210450569,-0.00720353991174327
-2.09166049783862e-15,-4.38862807518352e-15,2.05307079506272e-16,70,-0.13,-0.0637,0.1335091020583,1.37714814187409e-15,"3.SRI",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,NA,-0.455309103721962,-6.27028086169059e-16,-0.455309103721963,-0.455309103721962,0.325309103721962
-2.09166049783862e-15,-4.38862807518352e-15,2.05307079506272e-16,70,-0.13,-0.0637,0.4944,1.37714814187409e-15,"3.SRI permuted",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,NA,-0.455309103721962,-6.27028086169059e-16,-0.455309103721963,-0.455309103721962,0.325309103721962
-2.09166049783862e-15,-4.38862807518352e-15,2.05307079506272e-16,70,-0.13,-0.0637,0.1335091020583,1.37714814187409e-15,"3.SRI weigthed",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,NA,-0.455309103721962,-6.27028086169059e-16,-0.455309103721963,-0.455309103721962,0.325309103721962
-2.09166049783862e-15,-4.38862807518352e-15,2.05307079506272e-16,70,-0.13,-0.0637,0.2272,1.37714814187409e-15,"3.SRI weigthed permuted",2,"1.4/0.8",0.5,1.2,0.8,1,40,1,9,7,NA,-0.455309103721962,-6.27028086169059e-16,-0.455309103721963,-0.455309103721962,0.325309103721962
-0.039,-0.475,0.397,50,0.11,0.0396,0.439,0.00842087275920562,"strand",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.192915286201445,-0.0447247706422018,-0.000376621602762637,-0.0451013922449645,-0.0443481490394392,0.154724770642202
-0.343235137640377,-0.723971995255087,0.0375017199743328,50,0.11,0.0396,0.137084865506944,0.227004152751016,"2.Rates",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.213222726316681,-0.450751130046512,-0.102322378377772,-0.553073508424284,-0.348428751668741,0.560751130046512
-0.343235137640377,-0.723971995255087,0.0375017199743328,50,0.11,0.0396,0.1368,0.227004152751016,"2.Rates permuted",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.213222726316681,-0.450751130046512,-0.102322378377772,-0.553073508424284,-0.348428751668741,0.560751130046512
-0.137353753330492,-0.393389136292937,0.118681629631953,50,0.11,0.0396,0.372631113594228,0.152590324511855,"2.Rates weigthed",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.213222726316678,-0.268231975872332,-0.0409296042428154,-0.309161580115148,-0.227302371629517,0.378231975872332
-0.137353753330492,-0.393389136292937,0.118681629631953,50,0.11,0.0396,0.3734,0.152590324511855,"2.Rates weigthed permuted",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.213222726316678,-0.268231975872332,-0.0409296042428154,-0.309161580115148,-0.227302371629517,0.378231975872332
0.0152308922327297,-0.00935340648610634,0.0398151909515657,50,0.11,0.0396,0.303872838619528,0.0146515925884893,"3.SRI",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.0919835480031215,0.309768694379313,0.00453860470671394,0.305230089672599,0.314307299086026,-0.199768694379313
0.0152308922327297,-0.00935340648610634,0.0398151909515657,50,0.11,0.0396,0.5288,0.0146515925884893,"3.SRI permuted",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.0919835480031215,0.309768694379313,0.00453860470671394,0.305230089672599,0.314307299086026,-0.199768694379313
0.0152308922327297,-0.00935340648610634,0.0398151909515657,50,0.11,0.0396,0.303872838619528,0.0146515925884893,"3.SRI weigthed",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.0919835480031215,0.309768694379313,0.00453860470671394,0.305230089672599,0.314307299086026,-0.199768694379313
0.0152308922327297,-0.00935340648610634,0.0398151909515657,50,0.11,0.0396,0.3586,0.0146515925884893,"3.SRI weigthed permuted",3,"1.4/0.8",0.5,1.2,0.8,1,40,7,6,8,0.0919835480031215,0.309768694379313,0.00453860470671394,0.305230089672599,0.314307299086026,-0.199768694379313
-0.285,-0.58,-0.034,60,-0.14,-0.028,0.052,0.00531244880412778,"strand",4,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,-1,0.999069516339098,-0.521978021978022,-0.00277298151863813,-0.52475100349666,-0.519205040459384,0.381978021978022
-1.98946506223206,-5.1529293143732,1.17399918990908,60,-0.14,-0.028,0.297517952318959,1.89253030068596,"2.Rates",4,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,-1,0.136735452971808,-0.314444056209189,-0.595094904246489,-0.909538960455678,0.2806508480373,0.174444056209189
-1.98946506223206,-5.1529293143732,1.17399918990908,60,-0.14,-0.028,0.3048,1.89253030068596,"2.Rates permuted",4,"1.4/0.8",0.5,1.2,0.8,1,40,3,0,-1,0.136735452971808,-0.314444056209189,-0.595094904246489,-0.909538960455678,0.2806508480373,0.174444056209189
