"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","prediction_correlation","z","MOE","ci5","ci95","resid"
-0.404,-0.713,-0.063,60,-0.18,-0.0558,0.02,0.00624964622801602,"strand",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.148655112221915,-0.621538461538462,-0.00388439550172073,-0.625422857040182,-0.617654066036741,0.441538461538462
-0.130665208442658,-0.464127680530214,0.202797263644898,60,-0.18,-0.0558,0.515065092565801,0.19949263916613,"2.Rates",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.0856877679893622,-0.195921909330099,-0.0390849787627289,-0.235006888092828,-0.156836930567371,0.0159219093300995
-0.130665208442658,-0.464127680530214,0.202797263644898,60,-0.18,-0.0558,0.5316,0.19949263916613,"2.Rates permuted",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.0856877679893622,-0.195921909330099,-0.0390849787627289,-0.235006888092828,-0.156836930567371,0.0159219093300995
-0.111575837966408,-0.357993087532827,0.13484141160001,60,-0.18,-0.0558,0.45219368401069,0.147418170159659,"2.Rates weigthed",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.0856877679893515,-0.226396159689978,-0.0333749075926705,-0.259771067282649,-0.193021252097308,0.0463961596899782
-0.111575837966408,-0.357993087532827,0.13484141160001,60,-0.18,-0.0558,0.5372,0.147418170159659,"2.Rates weigthed permuted",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.0856877679893515,-0.226396159689978,-0.0333749075926705,-0.259771067282649,-0.193021252097308,0.0463961596899782
0.0196411636312145,0.00273108938726763,0.0365512378751614,60,-0.18,-0.0558,0.057058473085557,0.0101163867655081,"3.SRI",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.248593864740936,0.580753323370099,0.00587512523456612,0.574878198135532,0.586628448604665,-0.760753323370098
0.0196411636312145,0.00273108938726763,0.0365512378751614,60,-0.18,-0.0558,0.0464,0.0101163867655081,"3.SRI permuted",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.248593864740936,0.580753323370099,0.00587512523456612,0.574878198135532,0.586628448604665,-0.760753323370098
0.0196411636312145,0.00273108938726763,0.0365512378751614,60,-0.18,-0.0558,0.057058473085557,0.0101163867655081,"3.SRI weigthed",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.248593864740936,0.580753323370099,0.00587512523456612,0.574878198135532,0.586628448604665,-0.760753323370098
0.0196411636312145,0.00273108938726763,0.0365512378751614,60,-0.18,-0.0558,0.1502,0.0101163867655081,"3.SRI weigthed permuted",1,"1.4/0.8",0.5,1.2,0.8,1,40,7,5,8,0.248593864740936,0.580753323370099,0.00587512523456612,0.574878198135532,0.586628448604665,-0.760753323370098
-0.197,-0.566,0.15,50,-0.12,-0.0504,0.197,0.00695291184237085,"strand",2,"1.4/0.8",0.5,1.2,0.8,1,40,3,6,8,0.411911551462274,-0.275139664804469,-0.00191302183372494,-0.277052686638194,-0.273226642970744,0.155139664804469
